molecule,virus,reference,type,pubchem_smiles,obabel_smiles,pubchem_id,similarity_calculated,release
fluphenazine,MERS,10.3390/v10120721,experimental,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,3372,1,0.3
Ribavirin,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542,1,0.3
Lopinavir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,92727,1,0.3
ritonavir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1,392622,1,0.3
Penciclovir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N,OCC(CCn1cnc2c1nc(N)[nH]c2=O)CO,135398748,1,0.3
Nitazoxanide,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],41684,1,0.3
Chloroquine,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719,1,0.3
Remdesivir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,CCC(COC(=O)C(NP(=O)(Oc1ccccc1)OCC1OC(C(C1O)O)(C#N)c1ccc2n1ncnc2N)C)CC,,1,0.3
Favipiravir,SARS-CoV-2,10.1038/s41422-020-0282-0,experimental,C1=C(N=C(C(=O)N1)C(=O)N)F,Fc1c[nH]c(=O)c(n1)C(=O)N,492405,1,0.3
Ribavirin,SARS,10.3201/eid1004.030458,experimental,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542,1,0.3
Oseltamivir,SARS,10.3201/eid1004.030458,experimental,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,CCOC(=O)C1=CC(C(C(C1)N)NC(=O)C)OC(CC)CC,65028,1,0.3
Foscarnet,SARS,10.3201/eid1004.030458,experimental,C(=O)(O)P(=O)(O)O,OC(=O)P(=O)(O)O,3415,1,0.3
EGCG Palmitate,SARS,10.2174/1871528114666151022150122,experimental,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,,1,0.3
glycyrrhizin,SARS,10.1021/jm0493008,experimental,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,OC1C(OC2OC(C(=O)O)C(C(C2O)O)O)C(OC(C1O)C(=O)O)OC1CCC2(C(C1(C)C)CCC1(C2C(=O)C=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C)C)C,,1,0.3
zanamivir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N,OCC(C(C1OC(=CC(C1NC(=O)C)N=C(N)N)C(=O)O)O)O,60855,1,0.3
oseltamivir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,CCOC(=O)C1=CC(C(C(C1)N)NC(=O)C)OC(CC)CC,65028,1,0.3
arbidol,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3,CCOC(=O)c1c(CSc2ccccc2)n(c2c1c(CN(C)C)c(O)c(c2)Br)C,131411,1,0.3
Lamivudine,SARS-CoV-2,10.5582/bst.2020.01020,experimental,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,Nc1ccn(c(=O)n1)C1CSC(O1)CO,60825,1,0.3
lopinavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,92727,1,0.3
ritonavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1,392622,1,0.3
Umifenovir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3,CCOC(=O)c1c(CSc2ccccc2)n(c2c1c(CN(C)C)c(O)c(c2)Br)C,131411,1,0.3
hydroxychloroquine,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,OCCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,3652,1,0.3
chloroquine,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719,1,0.3
remdesivir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,CCC(COC(=O)C(NP(=O)(Oc1ccccc1)OCC1OC(C(C1O)O)(C#N)c1ccc2n1ncnc2N)C)CC,121304016,1,0.3
arbidol,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3,CCOC(=O)c1c(CSc2ccccc2)n(c2c1c(CN(C)C)c(O)c(c2)Br)C,131411,1,0.3
lopinavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,92727,1,0.3
ritonavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1,392622,1,0.3
darunavir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,CC(CN(S(=O)(=O)c1ccc(cc1)N)CC(C(Cc1ccccc1)NC(=O)OC1COC2C1CCO2)O)C,213039,1,0.3
cobicistat,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,O=C(NC(Cc1ccccc1)CCC(Cc1ccccc1)NC(=O)C(NC(=O)N(Cc1csc(n1)C(C)C)C)CCN1CCOCC1)OCc1cncs1,25151504,1,0.3
favipiravir,SARS-CoV-2,10.5582/bst.2020.01020,experimental,C1=C(N=C(C(=O)N1)C(=O)N)F,Fc1c[nH]c(=O)c(n1)C(=O)N,492405,1,0.3
thalidomide,SARS-CoV-2,10.5582/bst.2020.01020,experimental,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,O=C1CCC(C(=O)N1)N1C(=O)c2c(C1=O)cccc2,5426,1,0.3
vitamin C,SARS-CoV-2,10.5582/bst.2020.01020,experimental,C(C(C1C(=C(C(=O)O1)O)O)O)O,OCC(C1OC(=O)C(=C1O)O)O,54670067,1,0.3
methylpredinsone,SARS-CoV-2,10.5582/bst.2020.01020,experimental,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2C[C@@H](C2=CC(=O)C=C[C@]12C)C,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2C[C@@H](C2=CC(=O)C=C[C@]12C)C,,1,0.3
pirfenidone,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,Cc1ccc(=O)n(c1)c1ccccc1,40632,1,0.3
bromhexine hydrochloride,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2.Cl,Brc1cc(CN(C2CCCCC2)C)c(c(c1)Br)N.Cl,5702220,1,0.3
Fingolimod,SARS-CoV-2,10.5582/bst.2020.01020,experimental,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,CCCCCCCCc1ccc(cc1)CCC(CO)(CO)N,107970,1,0.3
INSC-1,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCC(=O)N1CCN(CC1)Cc1cc(F)ccc1CN1CCC2(CC1)NC(=O)c1n2ccc1[C@H](NS(=O)(=O)c1ccccc1)C,CCC(=O)N1CCN(CC1)Cc1cc(F)ccc1CN1CCC2(CC1)NC(=O)c1n2ccc1[C@H](NS(=O)(=O)c1ccccc1)C,,1,0.3
INSC-2,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1cccc(c1)[C@@H](CN1CCC(CC1)NC(=O)[C@@H](C(C)C)NC(=O)c1nn(c2c1CCC2)c1cccc(c1)F)C,Fc1cccc(c1)[C@@H](CN1CCC(CC1)NC(=O)[C@@H](C(C)C)NC(=O)c1nn(c2c1CCC2)c1cccc(c1)F)C,,1,0.3
INSC-3,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(C[C@@]1(CCOc2c1cccc2)NC(=O)Nc1cccc(c1)C1(N)CC1)NC[C@H](C(C)C)NC(=O)c1csc(c1)C,O=C(C[C@@]1(CCOc2c1cccc2)NC(=O)Nc1cccc(c1)C1(N)CC1)NC[C@H](C(C)C)NC(=O)c1csc(c1)C,,1,0.3
INSC-4,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C1Nc2c(cccc2[C@@H]2N1CCN(C2)C(=O)c1c(C)cccc1F)NC(=O)C(N)(C)C,O=C1Nc2c(cccc2[C@@H]2N1CCN(C2)C(=O)c1c(C)cccc1F)NC(=O)C(N)(C)C,,1,0.3
INSC-5,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cccc(c1)[C@@H]1CC2(NS1(=O)=O)CN(C2)c1ccc(c(c1)C)C(=O)N1CCN(C(=O)C1)c1ccc(cc1)F,COc1cccc(c1)[C@@H]1CC2(NS1(=O)=O)CN(C2)c1ccc(c(c1)C)C(=O)N1CCN(C(=O)C1)c1ccc(cc1)F,,1,0.3
INSC-6,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1ccc(cc1)S(=O)(=O)N[C@H](c1ccccc1)C(=O)Nc1ccc(cc1)c1c(cc[nH]c1=O)CN1CCC(CC1)(F)F,Fc1ccc(cc1)S(=O)(=O)N[C@H](c1ccccc1)C(=O)Nc1ccc(cc1)c1c(cc[nH]c1=O)CN1CCC(CC1)(F)F,,1,0.3
INSC-7,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CNCS(=O)(=O)Nc1cccc(c1)NC(=O)c1cn(c2c1cccc2)C[C@H](c1ccc(cc1)C(F)(F)F)O,CNCS(=O)(=O)Nc1cccc(c1)NC(=O)c1cn(c2c1cccc2)C[C@H](c1ccc(cc1)C(F)(F)F)O,,1,0.3
INSC-8,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(c1ccc(cc1)[C@]1(C)NC(=O)N(C1=O)Cc1ccc(c(c1)F)C)N1CCC2(CC1)C[C@H](C(=O)N2)c1ccc(c(c1)C)O,O=C(c1ccc(cc1)[C@]1(C)NC(=O)N(C1=O)Cc1ccc(c(c1)F)C)N1CCC2(CC1)C[C@H](C(=O)N2)c1ccc(c(c1)C)O,,1,0.3
INSC-9,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Oc1ccc(cc1)[C@@H]1CC2(NC1=O)CCN(CC2)C(=O)c1ccc(cc1C)[C@]1(C)NC(=O)N(C1=O)Cc1cccc(c1)O,Oc1ccc(cc1)[C@@H]1CC2(NC1=O)CCN(CC2)C(=O)c1ccc(cc1C)[C@]1(C)NC(=O)N(C1=O)Cc1cccc(c1)O,,1,0.3
INSC-10,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1cccc(c1)c1n[nH]c2c1CN(C2=O)c1ccn2c1NC(=O)[C@@]12CCN1CCC(=O)c1ccc(s1)C,Fc1cccc(c1)c1n[nH]c2c1CN(C2=O)c1ccn2c1NC(=O)[C@@]12CCN1CCC(=O)c1ccc(s1)C,,1,0.3
INSC-11,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CN1CCC2(CC1)[C@H](NC(=O)N2C[C@H](c1cccc2c1cco2)C)c1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C,CN1CCC2(CC1)[C@H](NC(=O)N2C[C@H](c1cccc2c1cco2)C)c1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C,,1,0.3
INSC-12,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1ccc(cc1)S(=O)(=O)N[C@H](c1ccccc1F)C(=O)Nc1ccc(cc1)c1c(cc[nH]c1=O)CN1CCCCC1,Fc1ccc(cc1)S(=O)(=O)N[C@H](c1ccccc1F)C(=O)Nc1ccc(cc1)c1c(cc[nH]c1=O)CN1CCCCC1,,1,0.3
INSC-13,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCC[C@@H](c1ccc(cc1)F)C(=O)Nc1ccc(c(c1)c1ccnc(c1)C)CN1C(=O)CCC1=O,NCC[C@@H](c1ccc(cc1)F)C(=O)Nc1ccc(c(c1)c1ccnc(c1)C)CN1C(=O)CCC1=O,,1,0.3
INSC-14,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C([C@@H](N)C)Nc1cccc2c1NC(=O)C1N2CCN(C1)C(=O)c1ccc(s1)c1ccc(cc1)F,O=C([C@@H](N)C)Nc1cccc2c1NC(=O)C1N2CCN(C1)C(=O)c1ccc(s1)c1ccc(cc1)F,,1,0.3
INSC-15,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COCc1cccc(c1O)c1n[nH]c2c1CN(C2=O)C(=O)N[C@H](C[C@@H](c1scnc1C(C)C)N)C,COCc1cccc(c1O)c1n[nH]c2c1CN(C2=O)C(=O)N[C@H](C[C@@H](c1scnc1C(C)C)N)C,,1,0.3
INSC-16,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Cc1ccc(cc1)C1=NS(=O)(=O)C2=C(N1)CC[C@]2(C)C1CCN(CC1)C[C@@H]1CCCN(C1)c1nc2c([nH]1)cccc2,Cc1ccc(cc1)C1=NS(=O)(=O)C2=C(N1)CC[C@]2(C)C1CCN(CC1)C[C@@H]1CCCN(C1)c1nc2c([nH]1)cccc2,,1,0.3
INSC-17,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCCOC(=O)[C@H]1CC[C@@H]1c1nc2c([nH]1)CCN(C2)c1ccc(cc1NS(=O)(=O)c1ccc(nc1)C)C(F)(F)F,NCCOC(=O)[C@H]1CC[C@@H]1c1nc2c([nH]1)CCN(C2)c1ccc(cc1NS(=O)(=O)c1ccc(nc1)C)C(F)(F)F,,1,0.3
INSC-18,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Oc1cccc(c1)NC(=O)c1ccc(c2c1[nH]c(c2)[C@@H](N1CCC2(CC1)NC(=O)c1c(O2)cccc1)C(=O)N)O,Oc1cccc(c1)NC(=O)c1ccc(c2c1[nH]c(c2)[C@@H](N1CCC2(CC1)NC(=O)c1c(O2)cccc1)C(=O)N)O,,1,0.3
INSC-19,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1ccsc1C(=O)CCN1CC[C@@H]2[C@@H](C1=O)c1[nH]nc(c1C2)c1cc(O)cc(c1)F,COc1ccsc1C(=O)CCN1CC[C@@H]2[C@@H](C1=O)c1[nH]nc(c1C2)c1cc(O)cc(c1)F,,1,0.3
INSC-20,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(C(C)C)NC1CCN(CC1)[C@@]1(CC[C@H]1C[C@H]1Nc2ccccc2S(=O)(=O)N1C)Cc1cc(F)ccc1O,O=C(C(C)C)NC1CCN(CC1)[C@@]1(CC[C@H]1C[C@H]1Nc2ccccc2S(=O)(=O)N1C)Cc1cc(F)ccc1O,,1,0.3
INSC-21,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCS(=O)(=O)Nc1ccc2c(c1)NC(=O)[C@@]1(C2)CN(C[C@H](c2cc(C)cc(c2)O)O)C(=O)c2c1cccc2,CCS(=O)(=O)Nc1ccc2c(c1)NC(=O)[C@@]1(C2)CN(C[C@H](c2cc(C)cc(c2)O)O)C(=O)c2c1cccc2,,1,0.3
INSC-22,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cc(F)cc(c1)c1n[nH]c2c1CC(C)(C)N(C2=O)C(=O)NCCCC(=O)c1cnc(s1)C,COc1cc(F)cc(c1)c1n[nH]c2c1CC(C)(C)N(C2=O)C(=O)NCCCC(=O)c1cnc(s1)C,,1,0.3
INSC-23,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1ccc(cc1)CCC[C@@H]1OC2=C(C(=O)N)N(CN2C1=O)C(=O)c1cc2c(s1)cccc2,Fc1ccc(cc1)CCC[C@@H]1OC2=C(C(=O)N)N(CN2C1=O)C(=O)c1cc2c(s1)cccc2,,1,0.3
INSC-24,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCC(=O)Nc1ccc(cc1)n1c(C)nc2c1C(=O)N[C@H](N2C)C1=COC[C@H](C1)c1cccc(c1)F,CCC(=O)Nc1ccc(cc1)n1c(C)nc2c1C(=O)N[C@H](N2C)C1=COC[C@H](C1)c1cccc(c1)F,,1,0.3
INSC-25,SARS-CoV-2,10.1101/2020.03.03.972133,computational,OC[C@@H](S(=O)(=O)NCC1CCC(CC1)c1[nH]c(c(n1)c1cccc(c1C)O)C)c1cccnc1,OC[C@@H](S(=O)(=O)NCC1CCC(CC1)c1[nH]c(c(n1)c1cccc(c1C)O)C)c1cccnc1,,1,0.3
INSC-26,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Oc1ccc(c(c1)NC(=O)c1cc(C)cc2c1[nH]c(c2)C(=O)N1CC[C@]2(C1)NC(=O)c1c(O2)cccc1)Cl,Oc1ccc(c(c1)NC(=O)c1cc(C)cc2c1[nH]c(c2)C(=O)N1CC[C@]2(C1)NC(=O)c1c(O2)cccc1)Cl,,1,0.3
INSC-27,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cc2c(n1CC(=O)OCC(=O)NC[C@@H]1[C@H](O)C[C@@H]1NC(=O)Nc1cccc(c1)F)cccc2,COc1cc2c(n1CC(=O)OCC(=O)NC[C@@H]1[C@H](O)C[C@@H]1NC(=O)Nc1cccc(c1)F)cccc2,,1,0.3
INSC-28,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C([C@H]1[C@@H](Cc2c(C31CCN(CC3)C(=O)Nc1ccc(c(c1)C)F)cc([nH]2)C)C(=O)N)Oc1c[nH]ccc1=O,O=C([C@H]1[C@@H](Cc2c(C31CCN(CC3)C(=O)Nc1ccc(c(c1)C)F)cc([nH]2)C)C(=O)N)Oc1c[nH]ccc1=O,,1,0.3
INSC-29,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCc1c(C)ncc2c1cc(C(=O)N[C@H](C(=O)N[C@@]1(CCCOC1)/C=C/C(=O)NCc1ccccc1O)C1CCC1)c(c2)[C@H](O)C,NCc1c(C)ncc2c1cc(C(=O)N[C@H](C(=O)N[C@@]1(CCCOC1)/C=C/C(=O)NCc1ccccc1O)C1CCC1)c(c2)[C@H](O)C,,1,0.3
INSC-30,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCCc1nc2ccccc2c(c1CO)C(=O)N[C@H](C(=O)N[C@@H](c1ccc(cc1)O)/C=C/C(=O)NCc1cccc(c1)F)CC(C)C,NCCc1nc2ccccc2c(c1CO)C(=O)N[C@H](C(=O)N[C@@H](c1ccc(cc1)O)/C=C/C(=O)NCc1cccc(c1)F)CC(C)C,,1,0.3
INSC-31,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCc1cnn2c1c(CO)c(cc2C)C(=O)N[C@@H]([C@H]1CC1(C)C)C(=O)N[C@@H](c1ccc(cc1)O)/C=C/C(=O)NCc1ccccc1,NCc1cnn2c1c(CO)c(cc2C)C(=O)N[C@@H]([C@H]1CC1(C)C)C(=O)N[C@@H](c1ccc(cc1)O)/C=C/C(=O)NCc1ccccc1,,1,0.3
INSC-32,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1ccc(c(c1)F)S(=O)(=O)N[C@](c1ccncc1F)(C(=O)N[C@@]1(C[C@@H](C1)C(F)(F)F)C(=O)NC/C=C/C(=O)NCc1ccc(cc1)Cl)C,COc1ccc(c(c1)F)S(=O)(=O)N[C@](c1ccncc1F)(C(=O)N[C@@]1(C[C@@H](C1)C(F)(F)F)C(=O)NC/C=C/C(=O)NCc1ccc(cc1)Cl)C,,1,0.3
INSC-33,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(/C=C/[C@H](c1ccc(cc1)O)NC(=O)C1(NC(=O)c2cc3c(N)cn(c3cc2C)C)CC(C1)(C)C)NCc1cccc(c1)F,O=C(/C=C/[C@H](c1ccc(cc1)O)NC(=O)C1(NC(=O)c2cc3c(N)cn(c3cc2C)C)CC(C1)(C)C)NCc1cccc(c1)F,,1,0.3
INSC-34,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(NCc1ccccc1)/C=C/[C@H]([C@H]1CCOC1)NC(=O)C1(CC1)NC(=O)c1cc2CNCCc2cc1C,O=C(NCc1ccccc1)/C=C/[C@H]([C@H]1CCOC1)NC(=O)C1(CC1)NC(=O)c1cc2CNCCc2cc1C,,1,0.3
INSC-35,SARS-CoV-2,10.1101/2020.03.03.972133,computational,C[C@@H]1C[C@@](C1)(NC(=O)c1cn2c(N)ncc2cc1C)C(=O)N[C@@H](c1ccnnc1)/C=C/C(=O)NCc1ccc(cc1)O,C[C@@H]1C[C@@](C1)(NC(=O)c1cn2c(N)ncc2cc1C)C(=O)N[C@@H](c1ccnnc1)/C=C/C(=O)NCc1ccc(cc1)O,,1,0.3
INSC-36,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(NC1(CCOCC1)C(=O)N[C@@H](c1ccncn1)/C=C/C(=O)OCc1ccccc1)NCc1ccc2c(c1)OCCN2,O=C(NC1(CCOCC1)C(=O)N[C@@H](c1ccncn1)/C=C/C(=O)OCc1ccccc1)NCc1ccc2c(c1)OCCN2,,1,0.3
INSC-37,SARS-CoV-2,10.1101/2020.03.03.972133,computational,C[C@@H](Cc1cn[nH]c1C)NC(=O)NC1(CCCCC1)C(=O)N[C@H](c1c[nH]cc1)/C=C/C(=O)Oc1ccccc1,C[C@@H](Cc1cn[nH]c1C)NC(=O)NC1(CCCCC1)C(=O)N[C@H](c1c[nH]cc1)/C=C/C(=O)Oc1ccccc1,,1,0.3
INSC-38,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CC1CCN(CC1)C(=O)c1ccc(cc1)NC(=O)CNC(=O)c1csc(n1)NC(=O)C1(CCC1)c1cccnc1,CC1CCN(CC1)C(=O)c1ccc(cc1)NC(=O)CNC(=O)c1csc(n1)NC(=O)C1(CCC1)c1cccnc1,,1,0.3
INSC-39,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(Nc1ccc(cc1)F)Nc1cc(C)c(c(c1)F)c1nc(cnc1OCC1CC1)OCC1(O)CCN(CC1)C1CCC1,O=C(Nc1ccc(cc1)F)Nc1cc(C)c(c(c1)F)c1nc(cnc1OCC1CC1)OCC1(O)CCN(CC1)C1CCC1,,1,0.3
INSC-40,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cccc(c1)[C@](NC(=O)N[C@H]1C[C@H](c2c1c(cc(c2)F)C(=O)Cc1ccccc1OC)O)(CO)C,COc1cccc(c1)[C@](NC(=O)N[C@H]1C[C@H](c2c1c(cc(c2)F)C(=O)Cc1ccccc1OC)O)(CO)C,,1,0.3
INSC-41,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cc(OCC(=O)N)cc(c1)[C@@H](c1ccc(c(c1)C)OC)NC(=O)[C@@H](C(F)(F)F)C(=O)NCC(=O)O,COc1cc(OCC(=O)N)cc(c1)[C@@H](c1ccc(c(c1)C)OC)NC(=O)[C@@H](C(F)(F)F)C(=O)NCC(=O)O,,1,0.3
INSC-42,SARS-CoV-2,10.1101/2020.03.03.972133,computational,OC[C@H](C[C@H](C(=O)Nc1ccc(c(c1)F)O)NC(=O)Cc1noc(n1)c1ccc(cc1)C(=O)NCC(C)C)C,OC[C@H](C[C@H](C(=O)Nc1ccc(c(c1)F)O)NC(=O)Cc1noc(n1)c1ccc(cc1)C(=O)NCC(C)C)C,,1,0.3
INSC-43,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1cc(cc(c1)S(=O)(=O)[C@@H]1CC[C@@H]([C@H]1C)N)c1[nH]c(=O)c2n(c1)ccc2Cc1cccc2c1nc([nH]2)C,Fc1cc(cc(c1)S(=O)(=O)[C@@H]1CC[C@@H]([C@H]1C)N)c1[nH]c(=O)c2n(c1)ccc2Cc1cccc2c1nc([nH]2)C,,1,0.3
