id,molecule,virus,reference,type,smiles,pubchem_id,similarity_calculated
137,INSC-16,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Cc1ccc(cc1)C1=NS(=O)(=O)C2=C(N1)CC[C@]2(C)C1CCN(CC1)C[C@@H]1CCCN(C1)c1nc2c([nH]1)cccc2,,1
138,INSC-17,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCCOC(=O)[C@H]1CC[C@@H]1c1nc2c([nH]1)CCN(C2)c1ccc(cc1NS(=O)(=O)c1ccc(nc1)C)C(F)(F)F,,1
139,INSC-18,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Oc1cccc(c1)NC(=O)c1ccc(c2c1[nH]c(c2)[C@@H](N1CCC2(CC1)NC(=O)c1c(O2)cccc1)C(=O)N)O,,1
140,INSC-19,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1ccsc1C(=O)CCN1CC[C@@H]2[C@@H](C1=O)c1[nH]nc(c1C2)c1cc(O)cc(c1)F,,1
141,INSC-20,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(C(C)C)NC1CCN(CC1)[C@@]1(CC[C@H]1C[C@H]1Nc2ccccc2S(=O)(=O)N1C)Cc1cc(F)ccc1O,,1
142,INSC-21,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCS(=O)(=O)Nc1ccc2c(c1)NC(=O)[C@@]1(C2)CN(C[C@H](c2cc(C)cc(c2)O)O)C(=O)c2c1cccc2,,1
143,INSC-22,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cc(F)cc(c1)c1n[nH]c2c1CC(C)(C)N(C2=O)C(=O)NCCCC(=O)c1cnc(s1)C,,1
144,INSC-23,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1ccc(cc1)CCC[C@@H]1OC2=C(C(=O)N)N(CN2C1=O)C(=O)c1cc2c(s1)cccc2,,1
145,INSC-24,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCC(=O)Nc1ccc(cc1)n1c(C)nc2c1C(=O)N[C@H](N2C)C1=COC[C@H](C1)c1cccc(c1)F,,1
146,INSC-25,SARS-CoV-2,10.1101/2020.03.03.972133,computational,OC[C@@H](S(=O)(=O)NCC1CCC(CC1)c1[nH]c(c(n1)c1cccc(c1C)O)C)c1cccnc1,,1
147,INSC-26,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Oc1ccc(c(c1)NC(=O)c1cc(C)cc2c1[nH]c(c2)C(=O)N1CC[C@]2(C1)NC(=O)c1c(O2)cccc1)Cl,,1
148,INSC-27,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cc2c(n1CC(=O)OCC(=O)NC[C@@H]1[C@H](O)C[C@@H]1NC(=O)Nc1cccc(c1)F)cccc2,,1
149,INSC-28,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C([C@H]1[C@@H](Cc2c(C31CCN(CC3)C(=O)Nc1ccc(c(c1)C)F)cc([nH]2)C)C(=O)N)Oc1c[nH]ccc1=O,,1
150,INSC-29,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCc1c(C)ncc2c1cc(C(=O)N[C@H](C(=O)N[C@@]1(CCCOC1)/C=C/C(=O)NCc1ccccc1O)C1CCC1)c(c2)[C@H](O)C,,1
151,INSC-30,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCCc1nc2ccccc2c(c1CO)C(=O)N[C@H](C(=O)N[C@@H](c1ccc(cc1)O)/C=C/C(=O)NCc1cccc(c1)F)CC(C)C,,1
152,INSC-31,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCc1cnn2c1c(CO)c(cc2C)C(=O)N[C@@H]([C@H]1CC1(C)C)C(=O)N[C@@H](c1ccc(cc1)O)/C=C/C(=O)NCc1ccccc1,,1
153,INSC-32,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1ccc(c(c1)F)S(=O)(=O)N[C@](c1ccncc1F)(C(=O)N[C@@]1(C[C@@H](C1)C(F)(F)F)C(=O)NC/C=C/C(=O)NCc1ccc(cc1)Cl)C,,1
154,INSC-33,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(/C=C/[C@H](c1ccc(cc1)O)NC(=O)C1(NC(=O)c2cc3c(N)cn(c3cc2C)C)CC(C1)(C)C)NCc1cccc(c1)F,,1
155,INSC-34,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(NCc1ccccc1)/C=C/[C@H]([C@H]1CCOC1)NC(=O)C1(CC1)NC(=O)c1cc2CNCCc2cc1C,,1
156,INSC-35,SARS-CoV-2,10.1101/2020.03.03.972133,computational,C[C@@H]1C[C@@](C1)(NC(=O)c1cn2c(N)ncc2cc1C)C(=O)N[C@@H](c1ccnnc1)/C=C/C(=O)NCc1ccc(cc1)O,,1
157,INSC-36,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(NC1(CCOCC1)C(=O)N[C@@H](c1ccncn1)/C=C/C(=O)OCc1ccccc1)NCc1ccc2c(c1)OCCN2,,1
158,INSC-37,SARS-CoV-2,10.1101/2020.03.03.972133,computational,C[C@@H](Cc1cn[nH]c1C)NC(=O)NC1(CCCCC1)C(=O)N[C@H](c1c[nH]cc1)/C=C/C(=O)Oc1ccccc1,,1
159,INSC-38,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CC1CCN(CC1)C(=O)c1ccc(cc1)NC(=O)CNC(=O)c1csc(n1)NC(=O)C1(CCC1)c1cccnc1,,1
160,INSC-39,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(Nc1ccc(cc1)F)Nc1cc(C)c(c(c1)F)c1nc(cnc1OCC1CC1)OCC1(O)CCN(CC1)C1CCC1,,1
161,INSC-40,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cccc(c1)[C@](NC(=O)N[C@H]1C[C@H](c2c1c(cc(c2)F)C(=O)Cc1ccccc1OC)O)(CO)C,,1
162,INSC-41,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cc(OCC(=O)N)cc(c1)[C@@H](c1ccc(c(c1)C)OC)NC(=O)[C@@H](C(F)(F)F)C(=O)NCC(=O)O,,1
163,INSC-42,SARS-CoV-2,10.1101/2020.03.03.972133,computational,OC[C@H](C[C@H](C(=O)Nc1ccc(c(c1)F)O)NC(=O)Cc1noc(n1)c1ccc(cc1)C(=O)NCC(C)C)C,,1
164,INSC-43,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1cc(cc(c1)S(=O)(=O)[C@@H]1CC[C@@H]([C@H]1C)N)c1[nH]c(=O)c2n(c1)ccc2Cc1cccc2c1nc([nH]2)C,,1
165,INSC-44,SARS-CoV-2,10.1101/2020.03.03.972133,computational,OCC1(CCN(CC1)Cc1noc(n1)c1cc(ccc1C)C(=O)N1CCOCC1)CCc1ccc(c(c1)F)O,,1
166,INSC-45,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(c1cc(O)c(c(c1)F)O)N[C@@H]1CCC[C@@]2(C1)CC[C@H](S(=O)(=O)N2)N1CCN(CC1)c1ccccc1Cl,,1
167,INSC-46,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCC(=O)N[C@@H](C(=O)Nc1cc(ccc1C)C1=NNS(=O)(=O)C2=C1CCC(=O)N2c1ccc(cc1)F)Cc1ccc(cc1F)C,,1
168,INSC-47,SARS-CoV-2,10.1101/2020.03.03.972133,computational,OC[C@@H]1CC[C@H](CC1)N(C(=O)c1nn(c(c1)C)C(=O)CC)c1nc2c(s1)c(ccc2)C(OC)(F)F,,1
169,INSC-48,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCC(=O)Nc1ccc(cc1)C(=O)N[C@@]1(CC[C@@H](CC1)O)C(=O)Nc1ccc(cc1)C(=O)NCc1ccc(cn1)F,,1
170,INSC-49,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCC(=O)N1C[C@H]([C@](C1)(O)C(=O)Nc1ccc(cc1)c1nnc(o1)C)C(=O)Nc1ccc(cc1)NC,,1
171,INSC-50,SARS-CoV-2,10.1101/2020.03.03.972133,computational,OCCN1CCN(CC1)c1ccccc1NC(=O)c1ccc(cc1)NC(=O)C(NCc1[nH]c2c(c1)cc(cc2)F)(C)C,,1
172,INSC-51,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CC[C@@H](c1ccc(cc1)Cl)CC(=O)N(c1sc2c(n1)c(OC)ccc2O)CCN1CC[C@@]21C[C@H]2N,,1
173,INSC-52,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(NCC1(N)CC1)NCc1c(C)cc(cc1F)C(=O)N[C@H](c1c(Cl)cccc1C(F)(F)F)[C@@H]1CCCO1,,1
174,INSC-53,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CC(CNC(=O)[C@H](N1C(=O)N[C@@](c2c1cc(cc2)C(=O)N1CCCC1)(Cc1ccc(cc1)F)C(=O)NCC1(O)CCC(CC1)(F)F)c1ccc(cc1)O)C,,1
175,INSC-54,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(Nc1ccc(c2c1CCC2)NC(=O)C(C(=O)N1CCC[C@H]1C(=O)c1ccc(cc1Cl)O)(C)C)Nc1ccc(cc1)F,,1
176,INSC-55,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CNc1ccc(c(c1)OC[C@H]([C@@H]1C[C@H](C1)CC(=O)n1nnc2c1ccc(c2OC(c1ccc(cc1)OC)(F)F)O)O)F,,1
177,INSC-56,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCOC(=O)c1noc(n1)[C@H](c1cc(O)ccc1OC1(CCCC1)C1CC1)N[C@@H](CCc1ncc([nH]1)C)C,,1
178,INSC-57,SARS-CoV-2,10.1101/2020.03.03.972133,computational,C[C@@H](CCc1cc(O)cc(c1Cl)c1nc(=O)n(c2c1C(=O)N([C@H]2N(Cc1ccccc1F)C)C)C)N,,1
179,INSC-58,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Oc1cc(CC[C@@](CCc2ccc(c(c2)F)O)(N)C)c(c(c1)c1ncc(=O)n2c1C(=O)C[C@@]12COCCO1)C,,1
180,INSC-59,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCCNS(=O)(=O)c1ccc2c(c1)CN(C[C@]2(C)C(=O)c1cnc2n1ccc(c2)O)Cc1ccc(s1)C,,1
181,INSC-60,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCNC(=O)c1ccc(c(c1)NC(=O)c1ccc(cc1)[C@](c1ccc(cc1F)O[C@@H](C(=O)N[C@H]1CCS(=O)(=O)C1)CC)(O)C)C,,1
182,INSC-61,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NC(=O)Nc1ccc(cc1)[C@@H](c1c(nc2c(c1CN1CCCC1)cccc2)C(=O)N1CC[C@H]([C@@](C1)(C)O)Cc1ccc(cc1)F)O,,1
183,INSC-62,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O[C@H]1CC[C@@H](C1)N[C@H](C1(CCN(CC1)C)Cc1onc(c1)c1ccc(cc1F)F)C(=O)Nc1cc(n(c1)C)O,,1
184,INSC-63,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1ccc(cc1C[C@]1(COCC1)CNC(=O)c1scc(n1)C(=O)OCCNc1ccc(nc1)C)O,,1
185,INSC-64,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1ccc2c(c1)NC(=O)[C@H]2CC(=O)N1CCC(CC1)(O)c1ccc2c(c1)nc([nH]2)c1ccc(cc1O)F,,1
186,INSC-65,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O[C@@H]1CC[C@H](CC1)NC(=O)[C@@H](S(=O)(=O)c1ccc(c(c1)C)NC(=O)NCc1ccc(cc1)C(F)(F)F)C,,1
187,INSC-66,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cc(O)ccc1CNC(=O)c1cc(ccc1NC(=O)CC1CC1)N1C(=O)N[C@@](C1=O)(C)c1ccc(cc1)F,,1
188,INSC-67,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CN1CCC(=CC1)Cc1ccncc1S(=O)(=O)c1ncccc1O[C@@H]1CCN(C1)[C@@H](C(=O)Nc1ccc(c(c1)F)C1(C)CCOCC1)C,,1
189,INSC-68,SARS-CoV-2,10.1101/2020.03.03.972133,computational,OCc1nsc(c1C(=O)N[C@H]1COCC1)N[C@H]1CCCC[C@H]1C(=O)Nc1c(C)sc2c1cccc2,,1
190,INSC-69,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COCC(=O)N[C@@]1(CC[C@H](C1)O)C(=O)Nc1ccc(cc1OC)CNc1cc([nH]c1C)c1ccc(cc1)F,,1
191,INSC-70,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NC[C@H]1CCN(C1)C(=O)c1cc(ccc1NC(=O)N1CCCC1)C(=O)NCc1ccc(cc1)C(F)(F)F,,1
192,INSC-71,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CNCc1cccn1c1ccc(c(c1)F)NC(=O)[C@@H]1C[C@@H](CN1c1cccc(c1)NC(=O)Nc1ccc2c(c1)OCCO2)O,,1
193,INSC-72,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CNc1cc(n2c1cncc2)NC(=O)[C@@H](C1(CCN(CC1)C(=O)C)Cc1onc(c1)c1ccc(cc1F)F)N[C@H]1CC[C@@H](C1)O,,1
194,INSC-73,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1cc2c(c(c1)c1cncc(c1C)CCC1(N)COC1)C(=O)NC12CCCCC1,,1
195,INSC-74,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1ccc(cc1)[C@H]1C[C@]1(N)CCc1cc(O)cc(c1C)c1nc2N(C)C(=O)C[C@@H](c2c(=O)[nH]1)C(F)(F)F,,1
196,INSC-75,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CNC(=O)[C@@H](c1cncc(c1)C1(N)CC1)N[C@@H]([C@@H]1Cc2c(C1)cccc2NC(=O)N1CC(C1)O)C,,1
197,INSC-76,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O[C@H]1[C@H](CC21C[C@H](C2)CC(=O)n1cnc2c1cccc2C#Cc1ccncc1)C(=O)N(C1CC1)C,,1
198,INSC-77,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(C1CCC1)N[C@@H]1CCC[C@@]2(C1)C[C@@H](S(=O)(=O)N2)N1CCN(CC1)c1cccnc1,,1
199,INSC-78,SARS-CoV-2,10.1101/2020.03.03.972133,computational,Fc1cc(cc(c1)c1ccc(cc1C)F)C(=O)Nc1cccc(c1)NC(=O)C1(N)CC1,,1
200,INSC-79,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cc(F)ccc1[C@H](C(=O)NCC(=O)N1CC[C@H](C1)c1ccc2c(c1)nc([nH]2)c1ccc(cc1C)F)CNC(C)C,,1
201,INSC-80,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCc1ccc(cc1)N[C@@H]1NC(=O)N(C21CCC2)C[C@H]([C@H](Cc1ccc(cc1)F)NC(=O)C1CC1)O,,1
202,INSC-81,SARS-CoV-2,10.1101/2020.03.03.972133,computational,COc1cc(O)ccc1NC(=O)N(CC(=O)N(C1(C)CC1)Cc1nccc(c1)C)CCN1CCOCC1,,1
203,INSC-82,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CN1CCC(CC1)c1nccc(c1C(=O)CCCc1ccc2c(c1)S(=O)(=O)CCN2C(=O)Cc1ccc(cc1)O)c1ccc(cc1)F,,1
204,INSC-83,SARS-CoV-2,10.1101/2020.03.03.972133,computational,OCC(c1cccc2c1CN(CC12CN(C1)C)C(=O)N[C@@H]([C@H]1CCOC1)CCC1(N)CC1)c1[nH]c2c(n1)ccc(c2)F,,1
205,INSC-84,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCC(=O)c1c(F)cccc1N(C(=O)Nc1ccc2c(c1)[C@H](CC2)C(=O)c1ccc2c(c1)CCN2)C,,1
206,INSC-85,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(Nc1c(O)ccc(c1C)O)Nc1ccc2c(c1)[C@H](OC2)C(=O)c1c(cncc1C1CCNCC1)Nc1ccc(cc1F)F,,1
207,INSC-86,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCC(=O)N[C@H]([C@@H](C[C@H]1CCC2=C1S(=O)(=O)N=C(N2)c1cccc(c1)Cc1cc(F)c(c(c1)F)N1CCN(CC1)C)O)Cc1ccc(cc1)F,,1
208,INSC-87,SARS-CoV-2,10.1101/2020.03.03.972133,computational,C[C@@H](Cc1cccc(c1)F)NC[C@@H]1COCC[C@@]21NC(=O)N(C2=O)c1ccc(cc1Cl)CNC(=O)C1CC1,,1
209,INSC-88,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CCS(=O)(=O)N1CCc2c1ccc1c2[C@H](CC1)C(=O)c1c(cncc1c1cccc(c1C)F)C1CCN(CC1)C,,1
210,INSC-89,SARS-CoV-2,10.1101/2020.03.03.972133,computational,N[C@@H](Cc1ccc([nH]1)C)CCNC1=CC=C(S(=O)(=O)N1C)c1cc(NC(=O)C2CC2)c(cc1Cl)C,,1
211,INSC-90,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CC(C[C@@H]1NC(=O)[C@H](CCOCc2n(C[C@H](NC1=O)/C=C/C(=O)OCc1ccccc1)c(=O)[nH]c2)NC(=O)[C@H](C(F)(F)F)N)C,,1
212,INSC-91,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C(/C=C/[C@@H]1CN2C[C@H](CCC[C@@H](C(=O)N[C@H](C(=O)N1)CC(C)C)NC(=O)[C@@H](Nc1ccccc1)C)CNC2=O)OCc1ccccc1,,1
213,INSC-92,SARS-CoV-2,10.1101/2020.03.03.972133,computational,O=C([C@H](C(F)(F)F)Nc1ccccc1)N[C@H]1CCC[C@@H]2CNC(=O)N(C2)C[C@H](NC(=O)[C@@H](NC1=O)CC(F)(C)C)/C=C/C(=O)c1cnn[nH]1,,1
214,INSC-93,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CC[C@@H](Nc1nc(nc2c1C(=O)C(=C)C[C@]1(O2)CCNC1=O)c1ccc([nH]1)[C@@H](NC(=O)c1nccs1)CC)C,,1
215,INSC-94,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CC(CNc1nc(nc2c1C(=O)C(=C)C(=O)[C@]1(O2)CCNC1=O)C(=O)NC[C@H](C(F)(F)F)O)C,,1
216,INSC-95,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CC(CNc1nc(nc2c1C(=O)C(=C)C(=O)[C@]1(O2)CCNC1=O)n1c(C)cc2c1cccc2)C,,1
217,INSC-96,SARS-CoV-2,10.1101/2020.03.03.972133,computational,NCC(=O)N[C@@]12CCN(C1)CCC/C=C/C[C@H](NC(=O)[C@@H](NC2=O)CC(C)C)/C=C/C(=O)OCc1ccccc1,,1
218,INSC-97,SARS-CoV-2,10.1101/2020.03.03.972133,computational,CN[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C/C=C\CC[C@H]2[C@@H]1C2)/C=C/C(=O)OCc1ccccc1,,1
219,Glycyrrhizin,SARS,10.1016/j.jcv.2004.03.003,experimental,OC1C(OC2OC(C(=O)O)C(C(C2O)O)O)C(OC(C1O)C(=O)O)OC1CCC2(C(C1(C)C)CCC1(C2C(=O)C=C2C1(C)CCC1(C2CC(C)(CC1)C(=O)O)C)C)C,14982.0,1
220,Ribavirin,SARS,10.1016/j.jcv.2004.03.003,experimental,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542.0,1
221,Lopinavir,SARS,10.1016/j.jcv.2004.03.003,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,92727.0,1
222,Rimantadine,SARS,10.1016/j.jcv.2004.03.003,experimental,CC(C12CC3CC(C2)CC(C1)C3)N,5071.0,1
223,Baicalin,SARS,10.1016/j.jcv.2004.03.003,experimental,OC(=O)C1OC(Oc2cc3oc(cc(=O)c3c(c2O)O)c2ccccc2)C(C(C1O)O)O,64982.0,1
224,Dihydrotanshinone,MERS,10.1016/j.ijantimicag.2018.05.003,experimental,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1cccc2C,5316743.0,1
225,Ribavirin,SARS,10.1371/journal.pmed.0030343,experimental,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542.0,1
226,Lopinavir,SARS,10.1371/journal.pmed.0030343,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,92727.0,1
227,Ribavirin,MERS,nrd.2015.37,experimental,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542.0,1
228,Lopinavir,MERS,nrd.2015.37,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C,92727.0,1
229,ritonavir,MERS,nrd.2015.37,experimental,O=C(NC(C(CC(Cc1ccccc1)NC(=O)C(C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1,392622.0,1
230,hydrocortisone,MERS,nrd.2015.37,experimental,OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CCC2=CC(=O)CCC12C,5754.0,1
231,methylprednisolone,MERS,nrd.2015.37,experimental,OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CC(C2=CC(=O)C=CC12C)C,6741.0,1
232,Nitazoxanide A,MERS,nrd.2015.37,experimental,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],,1
233,Chlorpromazine,MERS,nrd.2015.37,experimental,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,2726.0,1
234,Ouabain,MERS,nrd.2015.37,experimental,OCC12C(O)CC(CC2(O)CCC2C1C(O)CC1(C2(O)CCC1C1=CC(=O)OC1)C)OC1OC(C)C(C(C1O)O)O,439501.0,1
235,Bufalin,MERS,nrd.2015.37,experimental,OC1CCC2(C(C1)CCC1C2CCC2(C1(O)CCC2c1ccc(=O)oc1)C)C,9547215.0,1
236,Chloroquine,MERS,nrd.2015.37,experimental,CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,2719.0,1
237,Camostat mesylate,MERS,nrd.2015.37,experimental,CS(=O)(=O)O.CN(C(=O)COC(=O)Cc1ccc(cc1)OC(=O)c1ccc(cc1)N=C(N)N)C,5284360.0,1
238,Trametinib,MERS,nrd.2015.37,experimental,CC(=O)Nc1cccc(c1)n1c(=O)n(C2CC2)c(=O)c2c1c(C)c(=O)n(c2Nc1ccc(cc1F)I)C,11707110.0,1
239,Selumetinib,MERS,nrd.2015.37,experimental,OCCONC(=O)c1cc2n(C)cnc2c(c1Nc1ccc(cc1Cl)Br)F,10127622.0,1
240,Everolimus,MERS,nrd.2015.37,experimental,OCCOC1CCC(CC1OC)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C,6442177.0,1
241,Rapamycin,MERS,nrd.2015.37,experimental,COC1CC(CCC1O)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C,5284616.0,1
242,Dasatinib,MERS,nrd.2015.37,experimental,OCCN1CCN(CC1)c1cc(nc(n1)C)Nc1ncc(s1)C(=O)Nc1c(C)cccc1Cl,3062316.0,1
243,Imatinib,MERS,nrd.2015.37,experimental,CN1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(c(c1)Nc1nccc(n1)c1cccnc1)C,5291.0,1
244,Ribavirin,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCC1OC(C(C1O)O)n1cnc(n1)C(=O)N,37542.0,1
245,Valganciclovir,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCC(OCn1cnc2c1nc(N)[nH]c2=O)COC(=O)C(C(C)C)N,135413535.0,1
246,β-Thymidine,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCC1OC(CC1O)n1cc(C)c(=O)[nH]c1=O,,1
247,Aspartame,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,134601.0,1
248,Oxprenolol,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,C=CCOc1ccccc1OCC(CNC(C)C)O,4631.0,1
249,Doxycycline,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,CN(C1C(=O)C(=C(C2(C1C(O)C1C(C)c3cccc(c3C(=C1C2=O)O)O)O)O)C(=O)N)C,54671203.0,1
250,Acetophenazine,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(=O)C,17676.0,1
251,Iopromide,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,COCC(=O)Nc1c(I)c(C(=O)NCC(CO)O)c(c(c1I)C(=O)N(CC(CO)O)C)I,3736.0,1
252,Riboflavin,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCC(C(C(Cn1c2cc(C)c(cc2nc2c1nc(=O)[nH]c2=O)C)O)O)O,493570.0,1
253,Reproterol,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,Oc1cc(O)cc(c1)C(CNCCCn1cnc2c1c(=O)n(C)c(=O)n2C)O,25654.0,1
254,"2,2′-Cyclocytidine",SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCC1OC2C(C1O)Oc1n2ccc(=N)n1,,1
255,Chloramphenicol,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCC(C(c1ccc(cc1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,5959.0,1
256,Chlorphenesin carbamate,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OC(COC(=O)N)COc1ccc(cc1)Cl,2724.0,1
257,Levodropropizine,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCC(CN1CCN(CC1)c1ccccc1)O,65859.0,1
258,Cefamandole,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OC(C(=O)NC1C(=O)N2C1SCC(=C2C(=O)O)CSc1nnnn1C)c1ccccc1,456255.0,1
259,Floxuridine,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCC1OC(CC1O)n1cc(F)c(=O)[nH]c1=O,5790.0,1
260,Tigecycline,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,O=C(Nc1cc(N(C)C)c2c(c1O)C(=C1C(C2)CC2C(C1=O)(O)C(=C(C(=O)C2N(C)C)C(=O)N)O)O)CNC(C)(C)C,54686904.0,1
261,Pemetrexed,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)CCc1c[nH]c2c1c(=O)[nH]c(n2)N,135410875.0,1
262,L(+)-Ascorbic acid,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,OCC(C1OC(=O)C(=C1O)O)O,54670067.0,1
263,Glutathione,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,124886.0,1
264,Hesperetin,SARS-CoV-2,10.1016/j.apsb.2020.02.008,computational,COc1ccc(cc1O)C1CC(=O)c2c(O1)cc(cc2O)O,72281.0,1
